Organisation Name,Organisation Type,Primary Focus,Service Area,Target Age Group,Key Services
Re-thinking Our Attitude to Driving (ROAD),Justice Program,Motor Vehicle Offending,Queensland,Young offenders,Driving education; Behavioral change; Motor vehicle offense reduction
Recognise Reflect Respect,Education Program,Male Development,Queensland,15-17 year old males,"Respectful relationships, Reflection, Recognition"
Redcliffe Area Youth Space,Youth Service,Youth Engagement,Redcliffe,12-25,Safe space; Activities; Support services
Regional Youth Support Coordinator,Government Role,Youth Support Coordination,8 Queensland regions,Youth requiring complex support,Management; Training; Support coordination; Case management[4]
Regional Youth Support Service,Non-Government Organization,Youth Support,Rockhampton City,Youth,Regional support; Case management; Youth programs
Restorative Justice Conferencing,Justice Program,Youth Justice,Queensland,10-17,"Victim-offender mediation, Harm repair, Community involvement"
Restorative Justice Program,Justice Program,Youth Rehabilitation,Queensland,Youth offenders,Conferencing; Victim support; Offender responsibility[5]
Revamp and Ride Youth Bike Program,Skill Development Program,Youth Engagement,Queensland,Youth,"Bicycle maintenance, Life skills, Practical training"
Rockhampton PCYC Youth Service,PCYC Program,Youth Development,Berserker,Youth,Recreational activities; Youth programs; Skills development
Roma and Maranoa Youth Support,Non-Government Organization,Youth Support,Roma,Youth,Rural youth support; Case management; Community engagement
Roseberry Community Services,Non-Government Organization,Youth Support,Gladstone Central,Youth,Community services; Youth programs; Support services
Sakura 'You Can Do It!' Program,Empowerment Program,Youth Development,Queensland,Youth,"Self-belief, Empowerment, Skill development"
Salvation Army Forest Lake Youth Work Services,Faith-Based Organization,Youth Support,Forest Lake,Youth,Youth work; Support services; Community engagement
Sarina District Youth Services,Non-Government Organization,Youth Support,Sarina,Youth,District support; Youth programs; Community engagement
Save the Children Australia,Non-Government Organization,Child Welfare,Statewide,0-18,Education; Protection; Development programs
School-based Policing Program,Police Program,School Safety,Queensland schools,School-aged youth,Positive relationship building; Safe learning environment; Adopt-a-Cop program[12]
Selectability Limited After-Hours Program,Non-Government Organization,Youth Outreach,Cairns (Earlville and Edmonton),Youth,"After-hours outreach, Mentoring, Transportation and referrals"
Selectability Limited After-Hours Program,Non-Government Organization,Youth Outreach,Cairns (Earlville and Edmonton),Youth,"After-hours outreach, Mentoring, Transportation and referrals"
Shifting Gears,Skills Program,Youth Development,Queensland,Youth,"Skills transition, Personal growth, Youth development"
So Youth Pilot Program,Recreation Program,Youth Engagement,Cairns,Youth,"Drop-in services, Basketball activities, Youth recreation"
South Burnett Youth Services (FUSION),Non-Government Organization,Youth Support,Kingaroy,Youth,Regional youth support; Case management; Youth programs
Speak OUT,Government Initiative,Youth Voice,Queensland,12-25,Youth consultation; Decision-making input; Policy influence
Springfield Youth Sports Hub,Sports Facility,Youth Recreation,Springfield,Youth,"Sports activities, Recreational engagement, Youth development"
St George Youth Support Service,Non-Government Organization,Youth Support,St George,Youth,Rural youth support; Case management; Community engagement
State Youth Leadership Program (SYLP),Government Program,Leadership Development,Queensland,Youth,Adventure-based learning; Leadership training; Skill development[3]
Street CRED,Outreach Program,Youth Outreach,Queensland,Street-connected youth,"Street-based support, Crisis intervention, Youth engagement"
Street University,Youth Center,Urban Youth Support,Logan/Gold Coast,12-25,"Creative arts, Life skills, Drug and alcohol support"
Stronger Community Justice Group (CJG),Community Program,Indigenous Justice Support,52+ communities across Queensland,All ages (focus on Indigenous youth),Justice system navigation; Community empowerment; Alcohol management
Stronger Connections,Support Program,Youth Connection,Queensland,Youth,"Social connection, Community building, Youth engagement"
Supporting Young Women to Safety Connection and Wellness,Gender-Specific Program,Female Youth Support,Queensland,Young women,"Safety planning, Wellness initiatives, Support services"
T-REK Program (Youth Off The Streets),Non-Government Organization,Youth Justice Support,Logan,Youth leaving detention,"Targeted interventions, Educational re-engagement, Multicultural support"
Tablelands Youth Support Program,Non-Government Organization,Youth Support,Atherton,Youth,Regional youth support; Case management; Youth programs
TAIHS Youth Support Services (TYSS),Indigenous Health Service,Indigenous Youth Support,Garbutt,Indigenous youth,Health services; Cultural support; Youth engagement
Taskforce Guardian,Government Team,Youth Crime Response,Queensland,Youth offenders,Crime surge response; Community safety initiatives; Targeted interventions[7]
Ted Noffs Foundation,Non-Government Organization,At-risk Youth,South-East Queensland,12-25,Drug & alcohol programs; Counseling; Street work
The Block (Winangali Infusion),Community Hub,Youth Support,Goondiwindi and NSW border towns,Youth,"Safe community hub, Cultural education, Recreational activities"
The Bridge Award,Youth Program,Personal Development,Queensland,13+,Life skills; Community engagement; Volunteering opportunities
The Deadly Matters Program,Indigenous Program,Youth Development,Queensland,Indigenous youth,"Cultural connection, Life skills, Youth support"
The Drop Zone,Youth Space,Youth Support,Queensland,Youth,"Drop-in services, Youth engagement, Safe space"
The Duke of Edinburgh's International Award,International Program,Youth Development,Queensland,14-24,Personal development; Skills acquisition; Physical recreation; Community service
The Foyer Foundation,Advocacy Organization,Youth Homelessness,National,16-24,Advocacy; Program development; Foyer accreditation; Research and policy[11][13]
The Lighthouse: Youth After Hours Diversionary Service,Diversionary Program,Youth Support,Queensland,Youth,"After-hours support, Diversion activities, Youth engagement"
The Murri Bus,Outreach Service,Indigenous Youth Support,Queensland,Indigenous youth,"Mobile outreach, Transportation, Community connection"
The Salvation Army Youth Outreach Service,Non-Government Organization,Youth Support,Brisbane,12-25,Crisis accommodation; Counseling; Case management
The Smith Family's iTrack,Online Mentoring,Career Transitions,Australia-wide,Secondary students,Online career mentoring (closing April 2025)[19]
Townsville Youth Foyer,Housing Program,Youth Housing,Townsville,16-25,Accommodation; Wraparound support; Education; Employment opportunities[7][12]
TR Youth Community Centre,Community Center,Youth Empowerment,Queensland,Youth,"Community space, Empowerment programs, Youth success"
Transition 2 Success (T2S),Government Program,Education & Training,Multiple locations,15+,Vocational training; Educational pathways; Life skills
Trauma-Informed Yoga for Youth via TAIHS,Therapy Program,Youth Trauma Support,Queensland,Youth,"Trauma-informed yoga, Rehabilitation, Wellbeing practices"
TTC's Building Better Men,Mentoring Program,Male Youth Development,Queensland,Young men,"Positive masculinity, Mentoring, Life skills development"
Turning Point,Intervention Program,Youth Redirection,Queensland,At-risk youth,"Behavior change, Life skills, Support services"
UCC Aspire Burdekin,Non-Government Organization,Youth Support,Aitkenvale,Youth,Regional support; Youth programs; Community engagement
Valley District Youth Services,Non-Government Organization,Youth Support,Mackay,Youth,District support; Youth programs; Community engagement
Vocational Training Queensland,Educational Service,Vocational Training,Queensland detention centers,15-17 in detention,Industry certificates; Job-readiness; Employment skills
Walk About Burun,Cultural Program,Indigenous Connection,Queensland,Indigenous youth,"Cultural walking, Connection to country, Youth development"
Walk about Training,Training Program,Youth Development,Wide Bay Burnett,Youth,"Walking-based training, Skill development, Youth engagement"
Walking on Yarun,Cultural Program,Indigenous Connection,Caboolture,Indigenous youth,"Cultural walking, Connection to country, Youth development"
Warwick Youth Support Service,Non-Government Organization,Youth Support,Warwick,Youth,Rural youth support; Case management; Community engagement
Wesley Mission Queensland,Non-Government Organization,Youth Support,Queensland,16-25,Youth Foyer coordination; Wraparound support; Life skills development[11]
West Moreton Youth Detention Centre,Government Facility,Youth Detention,Wacol,10-17,Secure accommodation; Education; Support services
Western Region Youth Service,Non-Government Organization,Youth Support,Emerald,Youth,Regional support; Case management; Youth programs
Winton Shire Council Youth Service,Local Government Service,Youth Support,Winton,Youth,Rural youth support; Council-led programs; Community engagement
WMB Logan Youth Support Services,Non-Government Organization,Youth Support,Eagleby,Youth,Support services; Case management; Youth programs
WMB Youth and Parenting Support Services (YHES House),Non-Government Organization,Youth and Family Support,Southport,Youth and young parents,Parenting support; Youth programs; Housing assistance
WMQ Youth Support Services,Non-Government Organization,Youth Support,Eagleby,Youth,Support services; Case management; Youth programs
Y-M-Power Project,Empowerment Program,Youth Development,Queensland,Youth,"Empowerment initiatives, Skill-building, Youth voice"
YACCA Youth Development Program,Development Program,Youth Support,Mount Isa,Youth,"Youth development, Support services, Regional engagement"
YFS Logan,Non-Government Organization,Youth & Family Support,Logan,10-25,Crisis support; Housing; Family intervention; Financial counseling
Yiliyapinya Indigenous Corporation,Indigenous Organization,Indigenous Youth Support,Woorabinda,Aboriginal youth 10-18 on bail,"Neuroscience-informed programs, Educational support, Cultural connection"
Yiliyapinya Indigenous Corporation,Indigenous Organization,Indigenous Youth Support,Woorabinda,Aboriginal youth 10-18 on bail,"Neuroscience-informed programs, Educational support, Cultural connection"
YIRS Integrated Support Service,Non-Government Organization,Youth Support,Mackay,Youth,Integrated services; Case management; Youth development
YMCA Queensland,Non-Government Organization,Youth Development,Multiple locations,10-25,Recreation; Leadership; Mentoring; Community engagement
Young Parent and Youth Wellbeing Program,Non-Government Organization,Youth and Family Support,Cairns,Youth and young parents,Parenting support; Wellbeing programs; Youth development
Young People Ahead Youth Advisory Group,Youth Advocacy,Youth Advocacy,Mount Isa,12-25,Youth representation; Community engagement
Young People's Kinnections,Non-Government Organization,Youth Support,Bungalow,Youth,Youth connections; Support services; Community engagement
Young Queenslanders Strategy,Government Initiative,Youth Development,Queensland,12-25,Strategic planning; Youth priorities; Cross-government coordination
Youth 4 Paws,Animal Therapy Program,Youth Development,Queensland,Youth,"Animal care, Responsibility development, Empathy building"
Youth 360 Service,Non-Government Organization,Youth Support,Kepnock,Youth,Holistic support; Case management; Youth development
Youth Access and Support Service,Non-Government Organization,Youth Support,Bokarina,Youth,Access services; Support programs; Youth engagement
Youth Access Program,Non-Government Organization,Youth Support,North Mackay,Youth,Access services; Youth programs; Community engagement
Youth Advocacy Centre (YAC),Non-Government Organization,Legal and Social Justice,Brisbane region,10-18 (up to 25 for homelessness),Legal services; Social support; Family support; Education advocacy
Youth Affairs Network of Queensland (YANQ),Peak Body,Youth Sector Development,Queensland,Youth sector organizations,Advocacy; Sector representation; Youth policy development[3][6]
Youth and Community Program,Non-Government Organization,Youth Support,Wynnum,Youth,Community-based programs; Youth engagement; Support services
Youth Beyond Blue,Support Service,Mental Health,Australia,Youth,Mental health support; Resources; Crisis intervention[6]
Youth Co-Responder Teams,Support Program,Crisis Intervention,Queensland,Youth in crisis,Multi-agency response; Early intervention; Support coordination[5]
Youth Co-Responder Teams,Multi-Agency Program,Crisis Intervention,Queensland,Youth in crisis,"Multi-disciplinary response, Early intervention, Police-youth worker partnerships"
Youth Development Partnership Fund,Government Program,Youth Crime Prevention,Queensland,At-risk youth,Sport activities; Adventure-based learning; Community engagement[12]
Youth Drug and Alcohol Treatment Service,Health Service,Substance Treatment,Queensland,12-25,"Addiction treatment, Recovery support, Youth-specific interventions"
Youth Empowered Towards Independence (YETI),Non-Government Organization,Youth Support,Far North Queensland,12-25,Substance use support; Case management; Outreach
Youth Empowering Strength (YES),Non-Government Organization,Youth Empowerment,Parkside,Youth,Strength-based programs; Youth empowerment; Support services
Youth Empowerment and Support Service (YESS),Non-Government Organization,Youth Empowerment,Mackay,Youth,Empowerment programs; Support services; Youth development
Youth Engagement and Linkage Service (YELS),Non-Government Organization,Youth Engagement,Maroochydore,Youth,Engagement services; Youth linkages; Community connection
Youth Events Team Initiative,Youth Program,Event Management,Queensland,Youth,"Events planning, Youth leadership, Community engagement"
Youth Housing and Reintegration Service (YHARS),Government Program,Housing Support,Multiple locations,12-21,Housing assistance; Case management; Reintegration support
Youth Hub Outreach & Lunch Flex – Bellbird Park,School Program,Student Support,Bellbird Park,School students,"Outreach services, Lunch programs, School engagement"
Youth Hub Outreach & Lunch Flex – Redbank Plains,School Program,Student Support,Redbank Plains,School students,"Outreach services, Lunch programs, School engagement"
Youth Justice Indigenous Support,Government Program,Indigenous Youth,Statewide,10-17,Culturally appropriate support; Mentoring; Community connection
Youth Pathways Program,Career Program,Youth Development,Queensland,Youth,"Career pathways, Skills development, Future planning"
Youth Substance Abuse Service (YSAS),Health Service,Substance Abuse,Multiple locations,12-25,Counseling; Detox support; Rehabilitation
Youth Support Coordinator Initiative (YSCI),Education Program,Education Retention,Queensland,Years 10-12 at risk of disengagement,School retention; Education support; Future employment pathways[4]
Youth Wellness and Empowerment Initiative,Wellbeing Program,Youth Development,Queensland,Youth,"Wellness promotion, Empowerment strategies, Youth support"
Youth Yarnz After Dark,Community Program,Indigenous Youth Engagement,Queensland,Indigenous youth,"After-hours support, Cultural connection, Youth engagement"
Youth4GC,Community Program,Youth Support,Gold Coast,Youth,"Gold Coast youth initiatives, Community support, Youth engagement"
YouthLink,Non-Government Organization,Youth Support,Slacks Creek,Youth,Support services; Youth programs; Community engagement
YouTurn Youth Support - Toowoomba Youth Service,Non-Government Organization,Youth Support,Toowoomba City,Youth,Support services; Youth programs; Community engagement
Zig Zag Young Women's Resource Centre,Non-Government Organization,Young Women,Brisbane,12-25,Sexual assault support; Housing; Counseling
Zillmere Young Peoples Support Service,Non-Government Organization,Youth Support,Zillmere,Youth,Support services; Youth programs; Community engagement
