Level,Year,Category,Line Item,Quantity,Unit Cost,Subtotal,Notes
LEVEL 3,Year 3,International,Community-led training,1,$80000,$80000,"Revenue generating"
LEVEL 3,Year 3,International,Platform partnerships,1,$30000,$30000,
LEVEL 3,Year 3,International,Licensing setup,1,$20000,$20000,
LEVEL 3,Year 3,International Subtotal,,,,,$380000,
LEVEL 3,Year 3,Media & Arts,Theatre (3),3,$100000,$300000,
LEVEL 3,Year 3,Media & Arts,Documentary distribution,1,$80000,$80000,
LEVEL 3,Year 3,Media & Arts,Podcast (24),24,$3333,$80000,
LEVEL 3,Year 3,Media & Arts,Arts grants,10,$15000,$150000,
LEVEL 3,Year 3,Media & Arts,Campaign,1,$50000,$50000,
LEVEL 3,Year 3,Media & Arts,Training,1,$40000,$40000,
LEVEL 3,Year 3,Media & Arts Subtotal,,,,,$700000,
LEVEL 3,Year 3,Training,Community-led,1,$280000,$280000,"Communities earning"
LEVEL 3,Year 3,Training,Online,1,$100000,$100000,
LEVEL 3,Year 3,Training,Leadership,1,$120000,$120000,
LEVEL 3,Year 3,Training,International,1,$80000,$80000,
LEVEL 3,Year 3,Training Subtotal,,,,,$580000,
LEVEL 3,Year 3,Summit,600 people,1,$420000,$420000,"Expanded"
LEVEL 3,Year 3,Forums,Regional,1,$140000,$140000,
LEVEL 3,Year 3,Sustainability,Implementation,1,$120000,$120000,
LEVEL 3,Year 3,Sustainability,Marketing,1,$80000,$80000,
LEVEL 3,Year 3,Sustainability,Content,1,$60000,$60000,
LEVEL 3,Year 3,Sustainability,Licensing,1,$40000,$40000,
LEVEL 3,Year 3,Sustainability,Revenue offset,1,-$150000,-$150000,"Conservative"
LEVEL 3,Year 3,Sustainability Subtotal,,,,,$150000,
LEVEL 3,Year 3,Evaluation,Independent,1,$150000,$150000,
LEVEL 3,Year 3,Evaluation,Community-led,1,$70000,$70000,
LEVEL 3,Year 3,Evaluation,ROI,1,$60000,$60000,
LEVEL 3,Year 3,Evaluation Subtotal,,,,,$280000,
LEVEL 3,Year 3,Operations & Admin,Efficient,1,$420000,$420000,
LEVEL 3,Year 3,TOTAL YEAR 3,,,,,$6900000,"$4.4M - $5.7M range (costs reducing, revenue offsetting)"
LEVEL 3,TOTAL,ALL YEARS,,,,,$19980700,"$13M - $17M Total"
,,,,,,,
,,,,,,,
SUMMARY,,,,,,,"Three Level Comparison"
LEVEL 1,TOTAL,3 YEARS,,,,$4417850,"$4.0M - $5.6M"
LEVEL 2,TOTAL,3 YEARS,,,,$10559400,"$7.5M - $10.5M ⭐ RECOMMENDED"
LEVEL 3,TOTAL,3 YEARS,,,,$19980700,"$13M - $17M"
